USER_ID,ITEM_ID,CATEGORY,STYLE,SEASON,IS_TRENDING,PURCHASE
65,133,jacket,sport,spring,0,0
29,113,tshirt,urban,summer,1,1
12,131,dress,elegant,summer,0,0
35,123,bag,urban,summer,0,0
81,126,bag,casual,summer,1,0
90,134,bag,sport,winter,1,0
115,141,jeans,sport,winter,1,1
114,145,tshirt,sport,autumn,0,0
75,129,jeans,casual,spring,0,0
164,110,jacket,sport,winter,0,0
101,109,dress,urban,autumn,0,1
99,148,jeans,sport,winter,0,0
36,118,dress,elegant,winter,0,1
151,132,jacket,urban,summer,1,0
37,112,jeans,sport,summer,0,0
99,141,jeans,sport,winter,1,0
30,117,jacket,casual,autumn,0,0
86,113,tshirt,urban,summer,1,1
187,119,tshirt,urban,winter,0,1
128,119,tshirt,urban,winter,0,1
111,116,dress,casual,autumn,0,0
25,121,jacket,urban,winter,1,0
53,123,bag,urban,summer,0,0
181,142,tshirt,casual,winter,0,0
186,139,jacket,casual,spring,0,0
75,118,dress,elegant,winter,0,1
76,109,dress,urban,autumn,0,0
7,146,jacket,casual,summer,0,0
141,140,jeans,casual,autumn,1,0
165,138,shoes,urban,summer,0,0
83,108,jeans,sport,spring,0,0
145,107,jacket,casual,autumn,0,0
45,104,jeans,elegant,summer,1,0
19,144,dress,elegant,winter,0,0
182,139,jacket,casual,spring,0,0
39,103,jeans,sport,autumn,0,0
173,113,tshirt,urban,summer,1,1
148,128,jeans,sport,summer,1,0
200,141,jeans,sport,winter,1,1
92,149,shoes,elegant,summer,0,1
153,133,jacket,sport,spring,0,0
164,135,bag,elegant,spring,1,0
147,120,tshirt,elegant,autumn,1,0
1,103,jeans,sport,autumn,0,0
144,123,bag,urban,summer,0,0
8,128,jeans,sport,summer,1,0
164,126,bag,casual,summer,1,0
28,128,jeans,sport,summer,1,1
101,141,jeans,sport,winter,1,0
191,117,jacket,casual,autumn,0,0
161,120,tshirt,elegant,autumn,1,0
141,146,jacket,casual,summer,0,0
35,106,dress,casual,summer,0,0
56,130,tshirt,casual,autumn,1,1
109,105,dress,elegant,winter,0,0
65,118,dress,elegant,winter,0,0
177,111,dress,urban,summer,0,1
86,127,shoes,urban,autumn,0,0
177,113,tshirt,urban,summer,1,1
197,131,dress,elegant,summer,0,0
133,138,shoes,urban,summer,0,0
53,137,tshirt,urban,summer,0,0
83,117,jacket,casual,autumn,0,1
1,145,tshirt,sport,autumn,0,0
4,101,dress,casual,spring,1,0
92,131,dress,elegant,summer,0,1
72,139,jacket,casual,spring,0,0
118,103,jeans,sport,autumn,0,0
123,150,tshirt,urban,autumn,1,1
133,130,tshirt,casual,autumn,1,1
57,117,jacket,casual,autumn,0,0
66,111,dress,urban,summer,0,0
179,139,jacket,casual,spring,0,0
30,115,tshirt,urban,autumn,0,0
91,134,bag,sport,winter,1,0
79,130,tshirt,casual,autumn,1,0
106,117,jacket,casual,autumn,0,0
84,124,bag,urban,winter,1,0
69,134,bag,sport,winter,1,0
126,143,jacket,urban,autumn,0,0
43,148,jeans,sport,winter,0,1
151,116,dress,casual,autumn,0,0
95,111,dress,urban,summer,0,0
104,104,jeans,elegant,summer,1,0
184,125,dress,urban,summer,0,0
93,132,jacket,urban,summer,1,0
178,119,tshirt,urban,winter,0,0
170,122,jacket,sport,autumn,0,0
149,106,dress,casual,summer,0,0
90,146,jacket,casual,summer,0,0
34,149,shoes,elegant,summer,0,0
73,126,bag,casual,summer,1,1
47,122,jacket,sport,autumn,0,0
113,135,bag,elegant,spring,1,0
180,115,tshirt,urban,autumn,0,0
14,126,bag,casual,summer,1,1
28,123,bag,urban,summer,0,0
154,114,tshirt,elegant,summer,0,1
187,107,jacket,casual,autumn,0,0
107,147,jacket,casual,autumn,0,1
18,138,shoes,urban,summer,0,0
119,137,tshirt,urban,summer,0,0
28,110,jacket,sport,winter,0,1
86,126,bag,casual,summer,1,1
126,144,dress,elegant,winter,0,0
25,104,jeans,elegant,summer,1,0
138,103,jeans,sport,autumn,0,0
111,122,jacket,sport,autumn,0,0
34,147,jacket,casual,autumn,0,0
83,142,tshirt,casual,winter,0,1
169,137,tshirt,urban,summer,0,1
187,145,tshirt,sport,autumn,0,0
198,137,tshirt,urban,summer,0,0
112,104,jeans,elegant,summer,1,0
94,111,dress,urban,summer,0,0
75,104,jeans,elegant,summer,1,0
79,106,dress,casual,summer,0,0
179,102,bag,casual,spring,0,1
79,111,dress,urban,summer,0,0
44,105,dress,elegant,winter,0,1
70,126,bag,casual,summer,1,0
20,149,shoes,elegant,summer,0,0
140,147,jacket,casual,autumn,0,0
38,137,tshirt,urban,summer,0,1
126,111,dress,urban,summer,0,0
3,133,jacket,sport,spring,0,0
134,150,tshirt,urban,autumn,1,1
138,144,dress,elegant,winter,0,0
130,113,tshirt,urban,summer,1,0
63,137,tshirt,urban,summer,0,0
73,117,jacket,casual,autumn,0,0
38,135,bag,elegant,spring,1,0
94,131,dress,elegant,summer,0,0
76,135,bag,elegant,spring,1,1
35,101,dress,casual,spring,1,0
64,129,jeans,casual,spring,0,0
72,111,dress,urban,summer,0,1
30,135,bag,elegant,spring,1,1
165,105,dress,elegant,winter,0,0
62,104,jeans,elegant,summer,1,0
89,145,tshirt,sport,autumn,0,0
72,139,jacket,casual,spring,0,0
104,114,tshirt,elegant,summer,0,1
97,123,bag,urban,summer,0,0
63,115,tshirt,urban,autumn,0,0
194,114,tshirt,elegant,summer,0,0
53,140,jeans,casual,autumn,1,1
198,106,dress,casual,summer,0,0
67,107,jacket,casual,autumn,0,0
15,147,jacket,casual,autumn,0,1
157,133,jacket,sport,spring,0,0
164,129,jeans,casual,spring,0,0
38,133,jacket,sport,spring,0,0
33,104,jeans,elegant,summer,1,1
86,102,bag,casual,spring,0,1
97,138,shoes,urban,summer,0,0
141,131,dress,elegant,summer,0,0
180,115,tshirt,urban,autumn,0,0
157,108,jeans,sport,spring,0,0
76,145,tshirt,sport,autumn,0,0
130,127,shoes,urban,autumn,0,1
36,126,bag,casual,summer,1,1
43,127,shoes,urban,autumn,0,0
74,140,jeans,casual,autumn,1,0
38,106,dress,casual,summer,0,0
46,143,jacket,urban,autumn,0,0
140,126,bag,casual,summer,1,0
111,140,jeans,casual,autumn,1,1
60,143,jacket,urban,autumn,0,0
68,105,dress,elegant,winter,0,0
120,137,tshirt,urban,summer,0,0
92,131,dress,elegant,summer,0,1
122,109,dress,urban,autumn,0,1
40,141,jeans,sport,winter,1,0
11,123,bag,urban,summer,0,0
90,146,jacket,casual,summer,0,0
164,123,bag,urban,summer,0,1
149,147,jacket,casual,autumn,0,1
53,109,dress,urban,autumn,0,0
154,141,jeans,sport,winter,1,0
35,125,dress,urban,summer,0,0
91,117,jacket,casual,autumn,0,0
128,143,jacket,urban,autumn,0,1
180,106,dress,casual,summer,0,1
88,133,jacket,sport,spring,0,0
150,126,bag,casual,summer,1,0
156,150,tshirt,urban,autumn,1,0
84,141,jeans,sport,winter,1,1
177,120,tshirt,elegant,autumn,1,0
189,140,jeans,casual,autumn,1,0
49,107,jacket,casual,autumn,0,0
179,119,tshirt,urban,winter,0,0
62,132,jacket,urban,summer,1,1
30,116,dress,casual,autumn,0,0
168,119,tshirt,urban,winter,0,1
113,150,tshirt,urban,autumn,1,0
166,104,jeans,elegant,summer,1,1
103,103,jeans,sport,autumn,0,0
32,110,jacket,sport,winter,0,0
124,133,jacket,sport,spring,0,0
87,128,jeans,sport,summer,1,1
67,124,bag,urban,winter,1,0
187,108,jeans,sport,spring,0,0
67,133,jacket,sport,spring,0,0
92,147,jacket,casual,autumn,0,0
88,114,tshirt,elegant,summer,0,0
32,146,jacket,casual,summer,0,0
165,121,jacket,urban,winter,1,0
142,131,dress,elegant,summer,0,1
74,107,jacket,casual,autumn,0,0
161,123,bag,urban,summer,0,0
82,102,bag,casual,spring,0,1
129,147,jacket,casual,autumn,0,0
130,103,jeans,sport,autumn,0,0
119,112,jeans,sport,summer,0,0
137,134,bag,sport,winter,1,0
53,144,dress,elegant,winter,0,0
158,146,jacket,casual,summer,0,0
128,132,jacket,urban,summer,1,1
14,109,dress,urban,autumn,0,0
40,102,bag,casual,spring,0,0
22,143,jacket,urban,autumn,0,0
4,126,bag,casual,summer,1,0
37,111,dress,urban,summer,0,0
70,118,dress,elegant,winter,0,1
41,138,shoes,urban,summer,0,1
34,117,jacket,casual,autumn,0,0
76,123,bag,urban,summer,0,0
117,142,tshirt,casual,winter,0,0
31,106,dress,casual,summer,0,0
168,134,bag,sport,winter,1,1
199,110,jacket,sport,winter,0,0
173,117,jacket,casual,autumn,0,0
122,146,jacket,casual,summer,0,0
64,102,bag,casual,spring,0,1
51,136,jeans,casual,spring,0,0
115,126,bag,casual,summer,1,0
187,139,jacket,casual,spring,0,0
54,134,bag,sport,winter,1,0
150,105,dress,elegant,winter,0,0
56,133,jacket,sport,spring,0,0
81,145,tshirt,sport,autumn,0,0
154,102,bag,casual,spring,0,0
171,140,jeans,casual,autumn,1,1
42,125,dress,urban,summer,0,0
108,144,dress,elegant,winter,0,0
179,130,tshirt,casual,autumn,1,0
49,117,jacket,casual,autumn,0,0
74,149,shoes,elegant,summer,0,1
83,108,jeans,sport,spring,0,0
149,117,jacket,casual,autumn,0,1
198,108,jeans,sport,spring,0,1
25,118,dress,elegant,winter,0,0
154,141,jeans,sport,winter,1,0
109,126,bag,casual,summer,1,0
14,115,tshirt,urban,autumn,0,0
117,107,jacket,casual,autumn,0,0
59,123,bag,urban,summer,0,0
82,131,dress,elegant,summer,0,0
146,142,tshirt,casual,winter,0,0
103,117,jacket,casual,autumn,0,0
108,145,tshirt,sport,autumn,0,1
98,103,jeans,sport,autumn,0,0
183,123,bag,urban,summer,0,0
108,139,jacket,casual,spring,0,0
93,122,jacket,sport,autumn,0,0
153,113,tshirt,urban,summer,1,1
170,144,dress,elegant,winter,0,0
126,102,bag,casual,spring,0,0
123,139,jacket,casual,spring,0,0
46,129,jeans,casual,spring,0,0
185,116,dress,casual,autumn,0,1
184,144,dress,elegant,winter,0,0
133,101,dress,casual,spring,1,0
177,103,jeans,sport,autumn,0,0
68,118,dress,elegant,winter,0,0
190,137,tshirt,urban,summer,0,0
49,124,bag,urban,winter,1,1
196,112,jeans,sport,summer,0,1
39,146,jacket,casual,summer,0,0
88,111,dress,urban,summer,0,0
72,120,tshirt,elegant,autumn,1,0
93,145,tshirt,sport,autumn,0,0
3,106,dress,casual,summer,0,0
5,105,dress,elegant,winter,0,0
9,135,bag,elegant,spring,1,0
20,149,shoes,elegant,summer,0,0
178,118,dress,elegant,winter,0,0
62,117,jacket,casual,autumn,0,1
13,147,jacket,casual,autumn,0,0
89,109,dress,urban,autumn,0,0
123,128,jeans,sport,summer,1,0
29,109,dress,urban,autumn,0,0
25,105,dress,elegant,winter,0,0
139,134,bag,sport,winter,1,0
72,105,dress,elegant,winter,0,0
176,126,bag,casual,summer,1,1
176,113,tshirt,urban,summer,1,0
28,105,dress,elegant,winter,0,1
115,103,jeans,sport,autumn,0,1
56,140,jeans,casual,autumn,1,0
33,106,dress,casual,summer,0,0
147,116,dress,casual,autumn,0,0
59,148,jeans,sport,winter,0,0
169,113,tshirt,urban,summer,1,1
170,136,jeans,casual,spring,0,1
191,127,shoes,urban,autumn,0,0
45,131,dress,elegant,summer,0,0
23,142,tshirt,casual,winter,0,0
158,139,jacket,casual,spring,0,0
159,118,dress,elegant,winter,0,0
12,139,jacket,casual,spring,0,0
194,132,jacket,urban,summer,1,1
17,140,jeans,casual,autumn,1,1
98,124,bag,urban,winter,1,1
158,107,jacket,casual,autumn,0,0
74,141,jeans,sport,winter,1,0
60,115,tshirt,urban,autumn,0,0
37,129,jeans,casual,spring,0,0
68,127,shoes,urban,autumn,0,0
192,117,jacket,casual,autumn,0,1
118,101,dress,casual,spring,1,1
22,126,bag,casual,summer,1,1
180,112,jeans,sport,summer,0,0
7,129,jeans,casual,spring,0,0
58,123,bag,urban,summer,0,0
26,134,bag,sport,winter,1,0
39,115,tshirt,urban,autumn,0,0
119,129,jeans,casual,spring,0,0
130,147,jacket,casual,autumn,0,0
84,122,jacket,sport,autumn,0,1
101,120,tshirt,elegant,autumn,1,0
6,119,tshirt,urban,winter,0,0
15,134,bag,sport,winter,1,0
189,135,bag,elegant,spring,1,0
12,118,dress,elegant,winter,0,0
15,144,dress,elegant,winter,0,0
174,125,dress,urban,summer,0,0
145,129,jeans,casual,spring,0,1
174,150,tshirt,urban,autumn,1,0
199,103,jeans,sport,autumn,0,0
24,103,jeans,sport,autumn,0,0
148,146,jacket,casual,summer,0,0
84,136,jeans,casual,spring,0,0
9,138,shoes,urban,summer,0,1
117,102,bag,casual,spring,0,0
88,108,jeans,sport,spring,0,0
72,121,jacket,urban,winter,1,0
18,130,tshirt,casual,autumn,1,0
95,138,shoes,urban,summer,0,0
32,111,dress,urban,summer,0,1
102,141,jeans,sport,winter,1,1
136,111,dress,urban,summer,0,0
145,112,jeans,sport,summer,0,1
121,146,jacket,casual,summer,0,0
86,128,jeans,sport,summer,1,0
148,133,jacket,sport,spring,0,0
97,102,bag,casual,spring,0,0
33,141,jeans,sport,winter,1,1
116,126,bag,casual,summer,1,1
150,139,jacket,casual,spring,0,0
174,150,tshirt,urban,autumn,1,0
143,134,bag,sport,winter,1,1
104,111,dress,urban,summer,0,0
61,103,jeans,sport,autumn,0,1
73,139,jacket,casual,spring,0,1
160,141,jeans,sport,winter,1,0
178,128,jeans,sport,summer,1,0
62,120,tshirt,elegant,autumn,1,0
7,111,dress,urban,summer,0,0
84,116,dress,casual,autumn,0,1
154,103,jeans,sport,autumn,0,0
127,141,jeans,sport,winter,1,0
12,123,bag,urban,summer,0,0
12,113,tshirt,urban,summer,1,1
147,146,jacket,casual,summer,0,0
100,145,tshirt,sport,autumn,0,0
183,132,jacket,urban,summer,1,0
51,144,dress,elegant,winter,0,0
150,137,tshirt,urban,summer,0,1
96,141,jeans,sport,winter,1,0
35,129,jeans,casual,spring,0,1
182,115,tshirt,urban,autumn,0,0
94,121,jacket,urban,winter,1,0
159,124,bag,urban,winter,1,0
108,120,tshirt,elegant,autumn,1,1
188,124,bag,urban,winter,1,0
105,136,jeans,casual,spring,0,1
117,134,bag,sport,winter,1,1
162,136,jeans,casual,spring,0,0
6,139,jacket,casual,spring,0,1
125,112,jeans,sport,summer,0,0
131,145,tshirt,sport,autumn,0,0
99,126,bag,casual,summer,1,0
8,136,jeans,casual,spring,0,0
41,147,jacket,casual,autumn,0,0
14,139,jacket,casual,spring,0,0
70,117,jacket,casual,autumn,0,0
123,125,dress,urban,summer,0,0
168,112,jeans,sport,summer,0,1
184,136,jeans,casual,spring,0,0
139,110,jacket,sport,winter,0,0
195,114,tshirt,elegant,summer,0,0
76,130,tshirt,casual,autumn,1,0
105,101,dress,casual,spring,1,1
1,120,tshirt,elegant,autumn,1,0
28,143,jacket,urban,autumn,0,0
165,149,shoes,elegant,summer,0,0
120,144,dress,elegant,winter,0,0
134,144,dress,elegant,winter,0,0
189,120,tshirt,elegant,autumn,1,0
37,120,tshirt,elegant,autumn,1,0
26,129,jeans,casual,spring,0,0
59,105,dress,elegant,winter,0,1
161,149,shoes,elegant,summer,0,1
20,150,tshirt,urban,autumn,1,0
43,134,bag,sport,winter,1,0
171,150,tshirt,urban,autumn,1,0
151,144,dress,elegant,winter,0,0
126,145,tshirt,sport,autumn,0,0
52,116,dress,casual,autumn,0,0
8,150,tshirt,urban,autumn,1,0
85,101,dress,casual,spring,1,0
102,105,dress,elegant,winter,0,0
86,147,jacket,casual,autumn,0,1
171,110,jacket,sport,winter,0,1
158,150,tshirt,urban,autumn,1,1
47,140,jeans,casual,autumn,1,1
113,112,jeans,sport,summer,0,0
196,133,jacket,sport,spring,0,0
1,119,tshirt,urban,winter,0,1
190,128,jeans,sport,summer,1,1
194,150,tshirt,urban,autumn,1,0
161,141,jeans,sport,winter,1,0
89,148,jeans,sport,winter,0,0
159,141,jeans,sport,winter,1,1
68,134,bag,sport,winter,1,0
102,119,tshirt,urban,winter,0,0
198,134,bag,sport,winter,1,1
83,145,tshirt,sport,autumn,0,0
